Event Data Level Sequence In Catalog,Unq Users level start,Event Data Unq Users Level Started (Before X Days),Unq Users level complete,Event Data Unq Users Level Completed (Before X Days),Unq Users level fail,Event Data # Level Start Events,Event Data # Level Fail Events,Event Data # Level Complete Events,# Level Steps,Avg Stacks Placed to Complete,Unq Users Level complete (1st attempt),Unq Users Level complete (2nd attempt),Unq Users Level complete (3+ attempt),Unq Users level step,Avg Stacks Placed to Fail,Avg goal complete % - Lvl Fail,# Rv Slot Unlock,# powerup used,unq users used rv slot,Coin Sink,# Level Pre Fail Events,Payers,Total Customer,Median Coin Balance,Coin Balance Below 20,Booster Balance 0,Total Level Revenue,Total Level RV Revenue,Total Level Ad Revenue,IAP Revenue,Funnel %,Level Churn %,Level Fail %,Fail / User,Absolute Level Fail % (Unique),Retry Ratio,Lvl complete % (1st Attempt),Lvl complete % (2nd Attempt),Lvl complete % (3+ Attempt),Unique Level Fail %,Avg Play on used,Avg Powerup Used,Rv Slot % (unique),Level Pre Fail %,Total Revenue / User,Total RV Revenue / User,Total Ad Revenue / User,IAP Revenue / User,ARPPU
54,"290,954","270,166","272,033","252,049","193,876","1,360,237","990,563","279,426","4,339,778",83.0,"85,302","43,942","144,791","273,631",40.0,38.0,"177,503","474,563","84,289","3,056,665","1,055,214","1,216","12,540",65,"58,511","128,994","$19,948.51","$4,661.70","$16,092.07","$7,945.10",31.7%,6.7%,72.8%,3.4,94.0%,5.0,29.3%,15.1%,49.8%,66.6%,14.92,0.35,29.0%,77.6%,$0.07,$0.02,$0.06,$0.03,$1.59
55,"281,453","261,048","271,367","251,280","142,080","688,670","368,812","278,864","2,138,291",70.2,"127,342","58,458","87,428","252,757",31.5,37.7,"138,344","256,685","65,792","1,478,880","394,442",376,"12,423",69,"49,488","118,993","$16,612.21","$3,759.68","$10,307.75","$2,650.99",31.6%,3.7%,53.6%,1.3,89.8%,2.5,45.2%,20.8%,31.1%,50.5%,7.60,0.37,23.4%,57.3%,$0.06,$0.01,$0.04,$0.01,$1.34
56,"262,559","242,827","250,108","231,067","151,610","970,550","645,599","251,253","3,488,532",102.0,"98,288","44,393","107,697","243,142",44.9,24.8,"261,027","442,518","98,145","1,937,095","692,197",758,"11,714",69,"48,310","109,072","$17,725.65","$5,354.58","$13,815.74","$5,632.33",29.1%,4.8%,66.5%,2.5,92.6%,3.9,37.4%,16.9%,41.0%,57.7%,13.29,0.46,37.4%,71.3%,$0.07,$0.02,$0.05,$0.02,$1.51
57,"295,563","275,203","254,864","236,099","223,390","3,361,274","2,818,001","262,130","12,673,333",101.6,"60,671","29,103","166,933","284,537",50.4,30.3,"943,600","1,441,334","146,746","3,490,585","3,017,423","2,306","12,877",58,"88,707","146,284","$56,629.68","$19,540.44","$45,603.49","$16,371.77",29.7%,14.2%,83.8%,9.5,96.3%,13.2,20.5%,9.8%,56.5%,75.6%,42.88,0.43,49.6%,89.8%,$0.19,$0.07,$0.15,$0.06,$4.40
58,"254,872","237,122","250,299","232,672","56,820","377,130","101,286","256,615","1,174,070",79.5,"187,504","39,662","24,529","211,991",58.8,51.9,"68,934","129,992","45,025","812,340","111,663",194,"11,387",63,"48,250","114,895","$18,072.79","$4,085.08","$8,564.39","$1,602.92",29.2%,1.9%,26.9%,0.4,83.2%,1.5,73.6%,15.6%,9.6%,22.3%,4.61,0.34,17.7%,29.6%,$0.07,$0.02,$0.03,$0.01,$1.59
59,"250,974","232,446","232,110","214,472","166,980","1,520,702","1,170,336","233,106","5,664,032",82.8,"72,714","31,796","127,846","235,128",47.5,42.4,"427,792","713,705","96,152","2,356,425","1,253,209","1,330","11,646",59,"61,650","115,808","$24,469.91","$7,890.61","$20,117.01","$8,653.36",27.0%,7.7%,77.0%,4.7,93.7%,6.6,29.0%,12.7%,50.9%,66.5%,22.57,0.47,38.3%,82.4%,$0.10,$0.03,$0.08,$0.03,$2.10
60,"284,490","265,075","254,428","235,206","191,095","1,405,542","1,036,295","261,781","4,585,708",65.3,"80,012","43,900","132,994","269,830",38.0,33.5,"298,436","528,404","94,057","2,144,950","1,112,928",834,"13,041",57,"66,448","132,377","$31,320.38","$8,076.95","$23,458.92","$5,473.34",29.6%,11.3%,73.7%,3.6,94.8%,5.5,28.1%,15.4%,46.7%,67.2%,16.12,0.38,33.1%,79.2%,$0.11,$0.03,$0.08,$0.02,$2.40
61,"240,190","221,454","234,890","216,683","82,830","432,399","172,535","235,931","1,348,896",76.0,"147,240","42,997","44,769","199,478",44.9,36.7,"98,409","167,970","54,750","984,390","185,511",235,"11,394",61,"41,066","107,309","$10,904.98","$2,798.22","$7,227.05","$1,627.49",27.4%,2.2%,39.9%,0.7,83.1%,1.8,61.3%,17.9%,18.6%,34.5%,5.62,0.39,22.8%,42.9%,$0.05,$0.01,$0.03,$0.01,$0.96
62,"242,528","224,082","231,900","213,950","155,330","906,899","618,968","232,922","2,810,821",52.5,"77,490","42,604","112,083","222,577",33.6,42.3,"132,411","285,485","65,041","1,504,625","658,276",714,"11,491",61,"47,723","113,682","$14,366.77","$3,882.83","$11,511.78","$5,387.84",27.0%,4.5%,68.3%,2.6,91.8%,3.9,32.0%,17.6%,46.2%,64.0%,11.59,0.31,26.8%,72.6%,$0.06,$0.02,$0.05,$0.02,$1.25
63,"258,496","239,661","248,848","230,235","135,632","687,486","387,925","256,102","2,297,251",79.0,"111,918","51,313","87,651","233,816",36.1,36.3,"204,913","346,242","66,480","1,651,400","416,143",466,"12,065",62,"44,673","120,993","$14,101.64","$3,379.84","$9,316.31","$3,186.83",29.0%,3.9%,56.4%,1.5,90.5%,2.8,43.3%,19.9%,33.9%,52.5%,8.89,0.50,25.7%,60.5%,$0.05,$0.01,$0.04,$0.01,$1.17
64,"235,978","217,804","230,015","212,107","103,035","514,976","252,525","231,028","1,634,240",83.8,"121,620","46,973","61,587","208,624",33.3,25.5,"120,975","197,807","65,692","1,075,425","270,726",282,"11,252",68,"33,445","107,175","$10,763.61","$3,213.89","$7,987.05","$2,091.02",26.8%,2.6%,49.0%,1.1,88.4%,2.2,51.5%,19.9%,26.1%,43.7%,6.93,0.38,27.8%,52.6%,$0.05,$0.01,$0.03,$0.01,$0.96
65,"233,440","215,289","229,502","211,574","80,449","396,425","148,438","230,473","1,125,883",67.4,"143,926","47,428","38,278","196,440",44.3,51.2,"40,396","107,085","30,415","941,950","159,241",264,"11,167",72,"30,276","104,501","$8,439.34","$2,350.26","$6,414.25","$1,869.17",26.7%,1.7%,37.4%,0.6,84.2%,1.7,61.7%,20.3%,16.4%,34.5%,4.82,0.27,13.0%,40.2%,$0.04,$0.01,$0.03,$0.01,$0.76
66,"233,058","215,112","228,106","210,409","109,028","527,299","270,694","229,128","1,557,305",67.5,"114,818","47,892","65,594","202,620",31.3,33.8,"99,351","176,272","46,462","994,070","288,049",303,"11,145",75,"28,846","103,917","$8,580.64","$1,746.13","$6,375.88","$2,256.72",26.6%,2.2%,51.3%,1.2,86.9%,2.3,49.3%,20.5%,28.1%,46.8%,6.68,0.33,19.9%,54.6%,$0.04,$0.01,$0.03,$0.01,$0.77
67,"234,844","216,954","226,446","208,923","144,019","816,003","539,423","227,457","2,480,461",83.7,"81,133","42,704","102,886","217,046",26.3,19.3,"161,993","290,452","68,351","1,575,435","571,849",448,"11,185",76,"32,528","104,564","$11,672.18","$2,954.80","$8,963.19","$3,051.14",26.4%,3.7%,66.1%,2.3,92.4%,3.6,34.5%,18.2%,43.8%,61.3%,10.56,0.36,29.1%,70.1%,$0.05,$0.01,$0.04,$0.01,$1.04
68,"222,254","205,979","220,754","204,530","8,089","235,359","9,598","220,962","534,260",59.2,"208,839","9,381","2,551","163,952",65.0,57.2,3,"8,542",1,"171,730","10,507",30,"10,315",85,"22,715","95,536","$6,780.25","$1,808.04","$4,693.44",$203.69,25.7%,0.7%,4.1%,0.0,73.8%,1.1,94.0%,4.2%,1.1%,3.6%,2.40,0.04,0.0%,4.5%,$0.03,$0.01,$0.02,$0.00,$0.66
69,"244,528","226,019","239,681","221,370","87,792","439,093","171,289","245,982","1,427,796",72.6,"147,012","49,376","44,560","210,135",56.8,71.2,"127,401","214,880","51,298","1,260,650","186,502",227,"11,267",85,"24,440","104,432","$5,790.53","$1,272.47","$5,338.26","$1,553.61",27.9%,2.1%,39.0%,0.7,85.9%,1.8,60.1%,20.2%,18.2%,35.9%,5.84,0.49,21.0%,42.5%,$0.02,$0.01,$0.02,$0.01,$0.51
70,"230,099","212,367","225,687","208,166","88,477","439,352","187,811","226,743","1,391,257",83.4,"131,304","46,383","48,171","201,148",32.9,23.9,"103,009","179,883","60,156","1,174,295","201,637",213,"11,058",91,"21,718","96,577","$7,955.31","$2,238.88","$6,219.90","$1,694.75",26.3%,2.0%,42.7%,0.8,87.4%,1.9,57.1%,20.2%,20.9%,38.5%,6.05,0.41,26.1%,45.9%,$0.03,$0.01,$0.03,$0.01,$0.72
71,"243,551","225,028","238,401","220,019","102,269","495,342","222,509","244,514","1,513,059",63.9,"130,807","51,496","57,535","214,129",31.2,34.3,"93,849","185,074","49,074","1,214,980","255,856",228,"11,258",92,"25,805","104,328","$8,893.09","$2,828.29","$7,238.56","$1,479.52",27.8%,2.2%,44.9%,0.9,87.9%,2.1,53.7%,21.1%,23.6%,42.0%,6.21,0.37,20.1%,51.7%,$0.04,$0.01,$0.03,$0.01,$0.79
72,"226,725","210,234","217,165","201,147","124,013","769,260","485,928","217,390","2,996,055",139.7,"90,308","41,346","85,583","211,650",59.7,37.5,"178,778","369,700","75,007","2,195,515","562,452",579,"10,540",91,"31,711","94,759","$12,611.02","$3,694.20","$10,446.76","$4,482.28",25.3%,4.3%,63.2%,2.1,93.4%,3.5,39.8%,18.2%,37.7%,54.7%,13.21,0.48,33.1%,73.1%,$0.06,$0.02,$0.05,$0.02,$1.20
73,"223,050","206,830","214,471","198,733","115,680","744,839","461,894","214,681","2,828,287",115.3,"94,829","36,963","82,734","205,269",53.8,45.7,"170,475","335,636","69,692","1,919,235","533,067",563,"10,410",89,"36,210","96,238","$16,575.34","$4,689.93","$11,889.22","$3,990.74",25.0%,3.9%,62.0%,2.1,92.0%,3.5,42.5%,16.6%,37.1%,51.9%,12.68,0.45,31.2%,71.6%,$0.07,$0.02,$0.05,$0.02,$1.59
74,"235,295","218,425","228,957","212,198","58,347","427,555","168,208","234,382","1,276,349",66.1,"168,621","33,417","28,710","196,015",42.5,36.8,"58,520","136,821","37,200","942,950","192,981",179,"10,595",90,"33,126","100,273","$10,804.22","$3,033.25","$7,707.14","$1,153.09",26.7%,2.9%,39.3%,0.7,83.3%,1.9,71.7%,14.2%,12.2%,24.8%,5.42,0.32,15.8%,45.1%,$0.05,$0.01,$0.03,$0.00,$1.02
75,"252,958","234,964","203,947","188,221","197,107","4,281,020","3,713,140","205,002","15,271,417",91.8,"45,941","15,979","142,314","245,670",39.8,32.4,"769,336","1,518,807","121,898","4,578,875","4,235,450","2,485","11,966",61,"74,879","123,003","$56,451.92","$17,230.07","$46,685.24","$19,684.74",23.8%,19.9%,86.7%,14.7,97.1%,21.0,18.2%,6.3%,56.3%,77.9%,60.37,0.35,48.2%,98.9%,$0.22,$0.07,$0.18,$0.08,$4.72
76,"221,671","204,984","217,456","200,973","67,486","376,794","131,820","223,689","1,229,831",72.3,"144,503","40,253","34,045","190,284",52.0,59.2,"90,732","183,544","51,865","1,111,020","159,096",213,"10,498",66,"43,008","101,631","$19,979.81","$5,138.29","$8,824.73","$1,381.72",25.3%,2.0%,35.0%,0.6,85.8%,1.7,65.2%,18.2%,15.4%,30.4%,5.55,0.49,23.4%,42.2%,$0.09,$0.02,$0.04,$0.01,$1.90
77,"212,875","196,855","205,470","189,632","71,718","446,174","208,650","206,422","1,568,364",105.5,"130,526","32,723","42,340","189,334",53.2,43.1,"101,891","245,518","60,357","1,567,330","246,402",299,"10,606",66,"34,737","89,544","$8,641.86","$2,470.96","$7,044.44","$2,097.79",23.9%,3.7%,46.8%,1.0,88.9%,2.2,61.3%,15.4%,19.9%,33.7%,7.37,0.55,28.4%,55.2%,$0.04,$0.01,$0.03,$0.01,$0.81
78,"221,578","206,086","217,471","202,050","51,356","338,993","96,582","223,706","1,093,599",73.2,"160,822","33,559","24,692","188,114",44.7,43.5,"80,734","153,184","58,563","923,870","113,228",128,"10,555",71,"30,455","92,014","$7,913.51","$2,606.08","$5,970.35","$1,053.65",25.3%,2.0%,28.5%,0.4,84.9%,1.6,72.6%,15.1%,11.1%,23.2%,4.94,0.45,26.4%,33.4%,$0.04,$0.01,$0.03,$0.00,$0.75
79,"232,055","216,261","221,190","205,281","71,621","607,535","334,711","227,109","2,023,227",83.3,"150,754","31,015","41,466","202,594",47.4,40.3,"117,690","264,176","56,309","1,465,680","386,497",276,"10,982",72,"31,070","92,629","$11,067.09","$3,726.23","$9,538.15","$1,847.86",25.8%,5.1%,55.1%,1.4,87.3%,2.7,65.0%,13.4%,17.9%,30.9%,8.72,0.43,24.3%,63.6%,$0.05,$0.02,$0.04,$0.01,$1.01
80,"250,314","232,391","228,903","211,237","131,471","1,004,636","671,457","236,118","3,509,315",74.8,"104,811","37,791","88,535","233,790",48.6,38.2,"232,455","512,041","93,098","2,481,150","770,637",516,"12,145",70,"41,362","89,213","$19,623.79","$6,334.06","$17,125.09","$3,652.99",26.7%,9.1%,66.8%,2.7,93.4%,4.4,41.9%,15.1%,35.4%,52.5%,14.02,0.51,37.2%,76.7%,$0.08,$0.03,$0.07,$0.01,$1.62
81,"242,808","224,450","224,588","206,741","117,446","841,585","534,246","230,858","2,814,582",66.5,"112,540","40,516","73,683","221,396",42.9,45.1,"117,991","336,904","54,841","2,050,975","621,076",462,"11,498",70,"43,561","94,161","$17,039.53","$5,826.71","$13,658.95","$3,131.82",26.2%,7.9%,63.5%,2.2,91.2%,3.7,46.3%,16.7%,30.3%,48.4%,11.59,0.40,22.6%,73.8%,$0.07,$0.02,$0.06,$0.01,$1.48
82,"238,624","220,390","217,297","200,227","151,721","1,557,034","1,181,565","223,431","6,177,426",100.8,"74,069","30,265","114,650","228,375",58.2,49.9,"407,670","946,087","113,993","3,659,665","1,391,942","1,369","11,323",53,"63,590","111,066","$28,294.98","$9,786.28","$22,065.70","$10,969.08",25.3%,9.1%,75.9%,5.0,95.7%,7.2,31.0%,12.7%,48.0%,63.6%,25.89,0.61,47.8%,89.4%,$0.12,$0.04,$0.09,$0.05,$2.50
83,"223,211","205,963","216,631","199,533","95,925","493,815","233,356","222,656","1,745,478",77.8,"115,101","45,143","58,012","199,743",48.0,37.8,"97,989","230,208","49,143","1,329,255","281,593",313,"10,708",58,"47,549","105,092","$17,616.06","$5,374.35","$9,950.93","$2,604.61",25.2%,3.1%,47.3%,1.0,89.5%,2.3,51.6%,20.2%,26.0%,43.0%,7.82,0.47,22.0%,57.0%,$0.08,$0.02,$0.04,$0.01,$1.65
84,"221,103","203,789","216,694","199,555","85,024","423,933","176,793","222,987","1,306,414",52.0,"126,659","44,258","47,381","193,723",25.2,29.6,"96,156","179,514","57,401","959,430","204,737",169,"10,644",63,"35,476","96,398","$8,567.55","$2,358.92","$6,208.82","$1,319.16",25.3%,2.1%,41.7%,0.8,87.6%,2.0,57.3%,20.0%,21.4%,38.5%,5.91,0.42,26.0%,48.3%,$0.04,$0.01,$0.03,$0.01,$0.80
85,"222,055","204,739","216,128","199,087","92,090","498,189","241,297","222,392","1,762,896",79.6,"119,867","40,183","57,751","198,430",48.8,50.3,"138,328","324,361","68,687","1,723,395","289,258",366,"10,746",64,"33,956","92,496","$9,068.73","$3,296.83","$7,518.96","$2,548.07",25.2%,2.8%,48.4%,1.1,89.4%,2.3,54.0%,18.1%,26.0%,41.5%,7.94,0.65,30.9%,58.1%,$0.04,$0.01,$0.03,$0.01,$0.84
86,"219,069","201,908","216,089","199,094","56,100","325,013","87,902","222,345","952,112",60.2,"154,708","39,960","22,761","181,909",28.2,22.5,"50,536","114,310","32,122","716,250","105,492",122,"10,626",70,"28,754","90,375","$7,999.82","$2,732.73","$5,704.24","$1,007.72",25.2%,1.4%,27.0%,0.4,83.0%,1.5,70.6%,18.2%,10.4%,25.6%,4.35,0.35,14.7%,32.5%,$0.04,$0.01,$0.03,$0.00,$0.75
87,"225,390","208,073","215,075","198,172","130,127","797,651","517,268","221,396","2,838,818",58.6,"85,464","37,191","94,445","209,942",33.6,43.0,"218,842","519,145","74,447","2,287,045","611,318",571,"10,890",69,"37,331","90,965","$13,221.19","$4,599.84","$10,925.82","$4,059.47",25.1%,4.8%,64.8%,2.3,93.1%,3.7,37.9%,16.5%,41.9%,57.7%,12.60,0.65,33.0%,76.6%,$0.06,$0.02,$0.05,$0.02,$1.21
88,"218,008","202,169","211,168","195,260","54,970","435,006","185,509","216,576","1,381,112",68.7,"153,711","28,395","31,020","183,353",44.9,31.9,"76,504","162,483","40,758","846,895","216,070",143,"10,199",76,"32,481","85,963","$10,467.64","$3,483.58","$7,502.28","$1,012.42",24.6%,3.4%,42.6%,0.9,84.1%,2.1,70.5%,13.0%,14.2%,25.2%,6.34,0.37,18.7%,49.7%,$0.05,$0.02,$0.03,$0.00,$1.03
89,"206,998","190,183","202,779","186,287","63,418","351,843","127,638","203,800","1,153,657",73.2,"134,126","35,570","33,207","177,188",56.6,63.9,"66,308","194,028","38,487","1,309,595","157,343",219,"10,595",82,"24,729","75,721","$6,317.25","$1,864.43","$5,271.71","$1,356.71",23.6%,2.0%,36.3%,0.6,85.6%,1.7,64.8%,17.2%,16.0%,30.6%,5.57,0.55,18.6%,44.7%,$0.03,$0.01,$0.03,$0.01,$0.60
90,"258,775","240,575","225,349","207,429","172,228","1,495,144","1,116,763","232,466","5,012,055",98.4,"71,046","34,632","121,813","252,037",36.4,26.6,"230,064","562,636","76,642","2,785,715","1,274,765",667,"12,986",76,"47,376","104,267","$24,397.48","$6,540.11","$21,388.52","$5,190.23",26.3%,13.8%,74.7%,4.3,97.4%,6.6,27.5%,13.4%,47.1%,66.6%,19.37,0.38,29.6%,85.3%,$0.09,$0.03,$0.08,$0.02,$1.88
91,"202,896","186,942","200,793","185,024","27,948","246,613","37,444","200,924","673,690",59.6,"168,070","23,827","8,918","160,162",31.7,37.3,"29,938","69,133","18,956","476,105","45,977",66,"10,099",88,"25,248","75,460","$9,276.29","$2,636.07","$5,749.01",$627.32,23.4%,1.0%,15.2%,0.2,78.9%,1.2,82.8%,11.7%,4.4%,13.8%,3.32,0.28,9.3%,18.6%,$0.05,$0.01,$0.03,$0.00,$0.92
92,"227,947","211,194","211,530","195,985","136,662","1,261,798","936,495","217,816","4,759,509",80.8,"81,090","30,066","101,656","212,642",47.2,46.4,"288,176","686,134","84,786","3,121,040","1,107,031",891,"11,085",73,"43,518","94,360","$18,031.86","$5,761.49","$15,476.87","$6,933.24",24.7%,7.2%,74.2%,4.1,93.3%,6.0,35.6%,13.2%,44.6%,60.0%,20.88,0.54,37.2%,87.7%,$0.08,$0.03,$0.07,$0.03,$1.63
93,"212,941","197,193","207,924","192,167","25,590","340,484","105,213","213,421","1,053,579",79.9,"180,929","10,606","18,148","169,408",61.9,39.8,"34,510","100,735","15,710","602,225","124,555",91,"10,124",79,"35,042","89,447","$12,281.39","$3,635.51","$7,102.11",$810.88,24.2%,2.5%,30.9%,0.5,79.6%,1.6,85.0%,5.0%,8.5%,12.0%,4.95,0.30,7.4%,36.6%,$0.06,$0.02,$0.03,$0.00,$1.21
94,"203,143","186,607","200,324","183,973","48,380","292,619","78,580","201,215","911,722",71.6,"146,524","33,828","20,065","169,426",52.7,73.2,"48,481","116,170","33,181","798,020","99,160",151,"10,554",88,"22,949","77,476","$4,913.25","$1,169.07","$4,106.26",$908.44,23.3%,1.4%,26.9%,0.4,83.4%,1.5,72.1%,16.7%,9.9%,23.8%,4.49,0.40,16.3%,33.9%,$0.02,$0.01,$0.02,$0.00,$0.47
95,"220,897","203,541","212,143","195,103","95,171","586,867","317,952","218,334","2,221,864",94.3,"114,207","36,271","63,509","202,680",59.7,61.1,"171,389","396,282","86,585","2,287,650","377,800",387,"10,960",81,"29,946","85,494","$9,076.66","$2,728.41","$7,688.89","$3,002.75",24.7%,4.1%,54.2%,1.4,91.8%,2.8,51.7%,16.4%,28.8%,43.1%,10.06,0.68,39.2%,64.4%,$0.04,$0.01,$0.03,$0.01,$0.83
96,"215,925","198,773","212,179","195,180","68,547","364,668","126,325","218,437","1,130,328",66.5,"138,766","41,755","33,356","184,922",29.8,23.6,"92,830","180,515","45,219","1,004,305","148,800",138,"10,746",87,"28,061","82,175","$9,503.36","$3,622.94","$6,842.30","$1,047.35",24.7%,1.8%,34.6%,0.6,85.6%,1.7,64.3%,19.3%,15.4%,31.7%,5.23,0.50,20.9%,40.8%,$0.04,$0.02,$0.03,$0.00,$0.88
97,"214,502","198,677","204,440","189,039","112,183","715,261","445,713","209,792","2,726,511",77.0,"91,567","35,795","78,910","198,886",46.8,58.6,"208,324","454,553","75,760","2,299,325","533,912",480,"10,311",84,"33,403","82,473","$12,072.12","$4,309.21","$10,256.94","$3,625.61",23.8%,4.9%,62.3%,2.1,92.7%,3.5,42.7%,16.7%,36.8%,52.3%,12.71,0.64,35.3%,74.6%,$0.06,$0.02,$0.05,$0.02,$1.17
98,"218,034","202,224","206,394","190,606","65,521","582,490","315,392","211,765","2,003,178",63.5,"143,118","28,976","36,248","186,516",60.1,55.7,"123,944","251,675","58,879","1,191,515","370,408",237,"10,505",88,"34,357","84,657","$13,732.08","$4,640.63","$10,512.94","$1,909.23",24.1%,5.7%,54.1%,1.4,85.5%,2.8,65.6%,13.3%,16.6%,30.1%,9.19,0.43,27.0%,63.6%,$0.06,$0.02,$0.05,$0.01,$1.31
99,"195,084","179,932","192,811","177,823","39,098","257,062","55,040","192,979","714,310",66.8,"149,441","30,549","12,866","159,124",27.7,38.6,"26,722","76,259","18,399","610,055","67,589",73,"9,840",100,"20,334","67,825","$6,133.69","$2,097.37","$4,597.74",$459.27,22.5%,1.2%,21.4%,0.3,81.6%,1.3,76.6%,15.7%,6.6%,20.0%,3.66,0.30,9.4%,26.3%,$0.03,$0.01,$0.02,$0.00,$0.62
100,"211,246","195,344","205,410","189,688","81,141","449,695","208,284","210,786","1,569,915",78.7,"120,390","39,110","47,605","188,608",44.0,41.4,"102,781","244,028","58,995","1,501,180","249,010",219,"10,149",97,"23,101","72,714","$6,428.51","$1,747.78","$5,698.61","$1,648.66",23.9%,2.9%,46.3%,1.0,89.3%,2.2,57.0%,18.5%,22.5%,38.4%,7.43,0.54,27.9%,55.4%,$0.03,$0.01,$0.03,$0.01,$0.63
101,"216,184","198,995","209,504","192,609","91,277","492,880","238,556","215,751","1,799,668",61.9,"113,203","42,987","54,810","190,949",51.5,46.3,"128,575","330,684","60,316","1,778,665","288,005",310,"10,804",95,"28,461","78,613","$9,946.05","$3,615.83","$7,967.07","$2,571.43",24.4%,3.2%,48.4%,1.1,88.3%,2.4,52.4%,19.9%,25.4%,42.2%,8.32,0.67,27.9%,58.4%,$0.05,$0.02,$0.04,$0.01,$0.92
102,"224,188","206,735","210,176","192,918","105,850","744,646","458,054","216,415","2,690,339",119.1,"106,289","37,088","68,882","207,905",49.0,44.8,"126,849","380,348","63,692","2,481,740","542,334",449,"11,246",89,"36,146","84,275","$15,215.13","$4,635.31","$12,503.08","$3,093.08",24.5%,6.7%,61.5%,2.0,92.7%,3.5,47.4%,16.5%,30.7%,47.2%,12.00,0.51,28.4%,72.8%,$0.07,$0.02,$0.06,$0.01,$1.35
103,"201,372","184,837","194,075","177,928","103,707","679,427","438,837","194,912","2,159,473",53.6,"88,885","30,234","75,174","183,736",27.2,53.5,"143,396","345,264","66,078","1,966,225","516,181",395,"10,611",92,"33,450","77,655","$12,764.51","$4,127.37","$9,289.67","$2,945.76",22.6%,3.7%,64.6%,2.2,91.2%,3.5,44.1%,15.0%,37.3%,51.5%,10.72,0.51,32.8%,76.0%,$0.06,$0.02,$0.05,$0.01,$1.20
104,"215,971","198,976","211,608","194,771","59,697","357,732","116,735","218,869","1,200,732",79.1,"146,695","36,706","29,983","184,454",58.6,56.0,"76,780","178,172","38,382","1,143,565","144,277",157,"11,225",91,"31,542","86,651","$8,100.54","$2,850.63","$5,812.95","$1,108.34",24.7%,2.1%,32.6%,0.5,85.4%,1.7,67.9%,17.0%,13.9%,27.6%,5.56,0.50,17.8%,40.3%,$0.04,$0.01,$0.03,$0.01,$0.72
105,"224,235","206,922","212,230","195,255","117,253","762,382","477,197","219,381","2,735,280",109.1,"95,883","37,690","80,890","210,534",42.4,35.3,"160,319","385,146","75,724","2,213,695","557,975",381,"11,633",88,"34,743","89,927","$12,027.32","$3,809.78","$10,182.05","$2,882.89",24.7%,5.6%,62.6%,2.1,93.9%,3.6,42.8%,16.8%,36.1%,52.3%,12.20,0.51,33.8%,73.2%,$0.05,$0.02,$0.05,$0.01,$1.03
106,"226,304","208,948","205,066","188,844","154,135","1,730,220","1,356,415","212,451","6,304,116",77.3,"61,650","24,814","120,841","217,456",37.9,32.6,"335,117","873,612","91,484","3,660,720","1,596,845","1,154","11,695",69,"54,704","104,041","$27,986.10","$9,428.22","$21,892.97","$9,160.33",23.9%,9.6%,78.4%,6.0,96.1%,8.4,27.2%,11.0%,53.4%,68.1%,27.86,0.50,40.4%,92.3%,$0.12,$0.04,$0.10,$0.04,$2.39
107,"249,470","232,057","208,759","192,020","114,040","1,491,916","1,113,168","215,903","5,065,724",84.4,"119,107","30,295","61,328","230,968",41.8,36.4,"241,166","550,730","80,902","2,519,060","1,290,755",627,"13,172",63,"60,352","118,155","$34,712.92","$9,782.97","$28,158.19","$4,537.44",24.3%,17.3%,74.6%,4.5,92.6%,7.1,47.7%,12.1%,24.6%,45.7%,20.31,0.37,32.4%,86.5%,$0.14,$0.04,$0.11,$0.02,$2.64
108,"207,338","191,639","202,936","187,364","38,011","306,142","78,715","209,026","1,031,005",88.8,"160,847","25,711","18,154","174,590",54.3,50.5,"64,104","143,468","40,934","884,515","99,285",133,"10,579",73,"35,163","94,208","$9,493.65","$3,290.29","$6,236.00","$1,158.59",23.6%,2.2%,25.7%,0.4,84.2%,1.5,77.6%,12.4%,8.8%,18.3%,4.97,0.47,19.7%,32.4%,$0.05,$0.02,$0.03,$0.01,$0.90
109,"212,866","196,965","203,304","187,583","69,226","477,480","228,707","209,192","1,704,199",92.2,"133,392","34,669","37,297","188,333",46.5,44.6,"85,859","245,410","38,866","1,515,385","278,473",266,"10,941",74,"31,486","93,092","$8,859.27","$3,036.93","$7,478.20","$1,999.90",23.7%,4.8%,47.9%,1.1,88.5%,2.3,62.7%,16.3%,17.5%,32.5%,8.01,0.51,18.3%,58.3%,$0.04,$0.01,$0.04,$0.01,$0.81
110,"222,642","205,245","208,033","191,170","127,654","868,085","575,226","215,226","3,009,830",73.8,"83,937","34,840","91,627","209,604",45.0,48.2,"179,833","450,507","80,218","2,439,505","685,391",467,"11,888",71,"38,439","98,701","$14,094.19","$4,580.58","$11,417.42","$3,453.79",24.2%,6.9%,66.3%,2.6,94.1%,4.2,37.7%,15.6%,41.2%,57.3%,13.52,0.52,36.0%,79.0%,$0.06,$0.02,$0.05,$0.02,$1.19
111,"217,829","200,631","206,896","190,157","84,878","562,755","289,897","214,158","2,230,919",104.1,"119,257","34,638","55,165","198,165",73.3,54.7,"120,045","362,460","70,777","2,323,085","354,695",404,"11,607",67,"41,407","99,234","$12,315.76","$4,445.23","$9,398.18","$3,103.51",24.1%,5.2%,51.5%,1.3,91.0%,2.7,54.7%,15.9%,25.3%,39.0%,10.24,0.64,32.5%,63.0%,$0.06,$0.02,$0.04,$0.01,$1.06
